year,area,age,n,b,meanw,country,quarter,survey,meanl,cohort,n.old,b.old,meanl.sd,meanw.sd,survey2,area2
1987,sgal,7,9772,NA,NA,spain,1,PELACUS,NA,1980,NA,NA,NA,NA,PELACUS,Galicia
1987,sgal,8,2109,NA,NA,spain,1,PELACUS,NA,1979,NA,NA,NA,NA,PELACUS,Galicia
1987,sgal,9,986,NA,NA,spain,1,PELACUS,NA,1978,NA,NA,NA,NA,PELACUS,Galicia
1987,sgal,10,281,NA,NA,spain,1,PELACUS,NA,1977,NA,NA,NA,NA,PELACUS,Galicia
1987,npor,0,1781349,37799,0,portugal,4,SAR-PT-AUT,NA,1987,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,npor,1,621717,23931,0,portugal,4,SAR-PT-AUT,NA,1986,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,npor,2,702157,35044,0,portugal,4,SAR-PT-AUT,NA,1985,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,npor,3,284117,16774,0.1,portugal,4,SAR-PT-AUT,NA,1984,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,npor,4,494627,31251,0.1,portugal,4,SAR-PT-AUT,NA,1983,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,npor,5,109517,6956,0.1,portugal,4,SAR-PT-AUT,NA,1982,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,npor,6,4327,344,0.1,portugal,4,SAR-PT-AUT,NA,1981,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,npor,7,11311,840,0.1,portugal,4,SAR-PT-AUT,NA,1980,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,spor,0,339122,7058,0,portugal,4,SAR-PT-AUT,NA,1987,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1987,spor,1,133717,4222,0,portugal,4,SAR-PT-AUT,NA,1986,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1987,spor,2,174001,7885,0,portugal,4,SAR-PT-AUT,NA,1985,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1987,spor,3,303577,15872,0.1,portugal,4,SAR-PT-AUT,NA,1984,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1987,spor,4,77646,4441,0.1,portugal,4,SAR-PT-AUT,NA,1983,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1987,spor,5,73226,4456,0.1,portugal,4,SAR-PT-AUT,NA,1982,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1987,spor,6,22532,1756,0.1,portugal,4,SAR-PT-AUT,NA,1981,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1987,spor,7,9340,725,0.1,portugal,4,SAR-PT-AUT,NA,1980,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1987,spor,7,10023,825,0.1,portugal,4,SAR-PT-AUT,NA,1980,NA,NA,NA,NA,SAR-PT-AUT,South_Iberia
1987,swpor,0,1594069,17677,0,portugal,4,SAR-PT-AUT,NA,1987,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,swpor,1,1623943,52138,0,portugal,4,SAR-PT-AUT,NA,1986,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,swpor,2,467537,21133,0,portugal,4,SAR-PT-AUT,NA,1985,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,swpor,3,340988,20125,0.1,portugal,4,SAR-PT-AUT,NA,1984,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,swpor,4,93327,6363,0.1,portugal,4,SAR-PT-AUT,NA,1983,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,swpor,5,53730,3542,0.1,portugal,4,SAR-PT-AUT,NA,1982,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,swpor,6,22370,1621,0.1,portugal,4,SAR-PT-AUT,NA,1981,NA,NA,NA,NA,SAR-PT-AUT,West_Iberia
1987,npor,0,3448347,60095,0,portugal,3,SAR-PT-SUM,NA,1987,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,npor,1,533227,20705,0,portugal,3,SAR-PT-SUM,NA,1986,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,npor,2,925826,46930,0.1,portugal,3,SAR-PT-SUM,NA,1985,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,npor,3,570769,31124,0.1,portugal,3,SAR-PT-SUM,NA,1984,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,npor,4,517738,29998,0.1,portugal,3,SAR-PT-SUM,NA,1983,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,npor,5,143374,9349,0.1,portugal,3,SAR-PT-SUM,NA,1982,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,npor,6,46283,2722,0.1,portugal,3,SAR-PT-SUM,NA,1981,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,npor,7,29682,2051,0.1,portugal,3,SAR-PT-SUM,NA,1980,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,spor,0,535640,11401,0,portugal,3,SAR-PT-SUM,NA,1987,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1987,spor,1,363922,8971,0,portugal,3,SAR-PT-SUM,NA,1986,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1987,spor,2,31063,1068,0,portugal,3,SAR-PT-SUM,NA,1985,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1987,spor,3,6628,252,0,portugal,3,SAR-PT-SUM,NA,1984,NA,NA,NA,NA,SAR-PT-SUM,South_Iberia
1987,swpor,0,562441,10213,0,portugal,3,SAR-PT-SUM,NA,1987,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,swpor,1,306154,12822,0,portugal,3,SAR-PT-SUM,NA,1986,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
1987,swpor,2,451370,24664,0.1,portugal,3,SAR-PT-SUM,NA,1985,NA,NA,NA,NA,SAR-PT-SUM,West_Iberia
